iter	Passed	Remaining
0	146	146410
1	147	73646
2	148	49344
3	149	37214
4	150	30001
5	152	25235
6	152	21701
7	153	19043
8	154	16988
9	155	15345
10	155	13995
11	156	12871
12	157	11935
13	157	11120
14	159	10443
15	159	9823
16	160	9292
17	161	8796
18	161	8357
19	162	7963
20	163	7614
21	164	7293
22	164	6999
23	165	6726
24	165	6473
25	166	6242
26	167	6027
27	167	5827
28	168	5645
29	169	5474
30	170	5314
31	170	5163
32	171	5018
33	171	4883
34	172	4755
35	173	4636
36	173	4525
37	174	4416
38	175	4313
39	175	4216
40	176	4123
41	177	4037
42	177	3952
43	178	3872
44	178	3793
45	179	3720
46	179	3648
47	180	3580
48	181	3515
49	181	3453
50	182	3393
51	183	3336
52	183	3280
53	184	3226
54	184	3174
55	185	3124
56	185	3076
57	186	3030
58	187	2985
59	187	2941
60	188	2898
61	188	2858
62	189	2820
63	190	2782
64	190	2747
65	191	2710
66	192	2675
67	192	2637
68	193	2606
69	193	2574
70	194	2543
71	194	2512
72	195	2482
73	196	2454
74	196	2426
75	197	2398
76	197	2372
77	198	2347
78	199	2322
79	199	2298
80	200	2275
81	201	2251
82	201	2228
83	202	2206
84	202	2182
85	203	2161
86	203	2139
87	204	2119
88	205	2099
89	205	2080
90	206	2062
91	207	2044
92	207	2026
93	208	2009
94	209	1992
95	209	1976
96	210	1959
97	211	1943
98	211	1927
99	212	1911
100	213	1896
101	213	1878
102	214	1865
103	214	1851
104	215	1837
105	216	1824
106	216	1810
107	217	1796
108	218	1784
109	218	1771
110	219	1759
111	220	1746
112	220	1733
113	221	1721
114	222	1709
115	222	1696
116	223	1685
117	223	1674
118	224	1662
119	225	1650
120	225	1640
121	226	1629
122	226	1616
123	227	1606
124	227	1595
125	228	1585
126	229	1575
127	229	1564
128	230	1555
129	231	1546
130	231	1536
131	232	1527
132	232	1518
133	233	1509
134	234	1500
135	234	1492
136	235	1483
137	236	1474
138	236	1466
139	237	1457
140	238	1450
141	238	1442
142	239	1434
143	239	1426
144	240	1418
145	241	1410
146	241	1403
147	242	1396
148	243	1388
149	243	1381
150	244	1374
151	245	1367
152	245	1361
153	246	1354
154	247	1347
155	247	1340
156	248	1333
157	248	1326
158	249	1319
159	250	1313
160	250	1307
161	251	1301
162	252	1294
163	252	1288
164	253	1282
165	253	1276
166	254	1269
167	255	1264
168	255	1258
169	256	1252
170	257	1247
171	257	1241
172	258	1235
173	259	1230
174	259	1225
175	260	1220
176	261	1215
177	261	1209
178	262	1205
179	263	1199
180	263	1193
181	264	1187
182	264	1182
183	265	1177
184	266	1172
185	266	1167
186	267	1162
187	268	1157
188	268	1152
189	269	1147
190	269	1142
191	270	1138
192	271	1133
193	271	1128
194	272	1123
195	272	1119
196	273	1114
197	274	1109
198	274	1105
199	275	1100
200	275	1096
201	276	1091
202	276	1087
203	277	1082
204	278	1078
205	278	1074
206	279	1069
207	279	1065
208	280	1061
209	281	1057
210	281	1053
211	282	1049
212	282	1045
213	283	1041
214	284	1037
215	284	1033
216	285	1029
217	285	1025
218	286	1021
219	286	1017
220	288	1015
221	288	1011
222	289	1007
223	289	1004
224	290	1000
225	290	996
226	291	992
227	292	989
228	292	985
229	293	981
230	293	978
231	294	974
232	295	971
233	295	967
234	296	964
235	296	960
236	297	957
237	298	954
238	298	951
239	299	947
240	299	944
241	300	941
242	301	937
243	301	934
244	302	931
245	302	928
246	303	925
247	304	922
248	304	918
249	305	915
250	305	912
251	306	909
252	306	906
253	307	903
254	308	900
255	308	897
256	309	894
257	310	891
258	310	888
259	311	886
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	868
266	315	866
267	316	863
268	316	860
269	317	857
270	317	854
271	318	852
272	318	849
273	319	846
274	320	844
275	320	841
276	321	838
277	321	836
278	322	833
279	323	831
280	323	828
281	324	826
282	325	824
283	325	821
284	326	819
285	327	817
286	327	814
287	328	812
288	329	810
289	329	807
290	330	805
291	331	802
292	331	800
293	332	798
294	333	796
295	333	793
296	334	791
297	335	789
298	335	786
299	336	784
300	336	782
301	337	779
302	337	777
303	338	775
304	339	772
305	339	770
306	340	769
307	341	766
308	341	764
309	342	762
310	343	760
311	343	758
312	344	755
313	345	753
314	345	751
315	346	749
316	346	747
317	347	745
318	347	742
319	348	740
320	349	738
321	349	736
322	350	734
323	350	732
324	351	730
325	352	728
326	353	726
327	353	724
328	354	722
329	354	720
330	355	718
331	355	715
332	356	713
333	356	711
334	357	709
335	358	707
336	358	705
337	359	703
338	360	701
339	360	699
340	361	698
341	361	695
342	362	693
343	362	691
344	363	689
345	363	687
346	364	686
347	365	683
348	365	682
349	366	680
350	366	678
351	367	676
352	368	674
353	368	672
354	369	671
355	369	669
356	370	667
357	371	665
358	371	663
359	372	662
360	372	660
361	373	658
362	374	656
363	374	654
364	375	653
365	376	651
366	376	649
367	377	647
368	377	645
369	378	644
370	378	642
371	379	640
372	380	639
373	380	637
374	381	635
375	381	633
376	382	632
377	383	630
378	383	628
379	384	626
380	384	625
381	385	623
382	385	621
383	386	620
384	387	618
385	387	616
386	388	614
387	388	613
388	389	611
389	390	610
390	390	608
391	391	606
392	391	605
393	392	603
394	392	601
395	393	600
396	394	598
397	394	597
398	395	595
399	396	594
400	396	592
401	397	590
402	397	589
403	398	587
404	398	586
405	399	584
406	400	582
407	400	581
408	401	579
409	401	578
410	402	576
411	403	575
412	403	573
413	404	572
414	404	570
415	405	569
416	406	567
417	406	566
418	407	564
419	407	563
420	408	561
421	409	560
422	409	558
423	410	557
424	410	555
425	411	554
426	412	553
427	412	551
428	413	550
429	413	548
430	414	547
431	415	545
432	415	544
433	416	542
434	416	541
435	417	540
436	418	538
437	418	537
438	419	535
439	419	534
440	420	532
441	421	531
442	421	530
443	422	528
444	422	527
445	423	526
446	424	524
447	424	523
448	425	521
449	425	520
450	426	519
451	427	517
452	427	516
453	428	515
454	428	513
455	429	512
456	430	511
457	430	509
458	431	508
459	432	507
460	432	505
461	433	504
462	433	503
463	434	502
464	435	500
465	435	499
466	436	498
467	437	496
468	437	495
469	438	494
470	438	492
471	439	491
472	440	490
473	440	488
474	441	487
475	441	486
476	442	485
477	442	483
478	443	482
479	444	481
480	444	479
481	445	478
482	445	477
483	446	475
484	446	474
485	447	473
486	448	472
487	448	470
488	449	469
489	449	468
490	450	466
491	451	465
492	451	464
493	452	463
494	453	462
495	453	461
496	454	459
497	455	458
498	455	457
499	456	456
500	456	455
501	457	453
502	458	452
503	458	451
504	459	450
505	459	448
506	460	447
507	461	446
508	461	445
509	462	444
510	462	443
511	463	441
512	464	440
513	464	439
514	465	438
515	466	437
516	466	436
517	467	434
518	467	433
519	468	432
520	469	431
521	469	430
522	470	428
523	470	427
524	471	426
525	471	425
526	472	424
527	473	423
528	473	421
529	474	420
530	475	419
531	475	418
532	476	417
533	476	416
534	477	415
535	478	413
536	478	412
537	479	411
538	479	410
539	480	409
540	481	408
541	481	407
542	482	405
543	482	404
544	483	403
545	484	402
546	484	401
547	485	400
548	485	399
549	486	397
550	486	396
551	487	395
552	488	394
553	488	393
554	489	392
555	489	391
556	490	390
557	491	389
558	491	387
559	492	386
560	492	385
561	493	384
562	494	383
563	494	382
564	495	381
565	495	380
566	496	379
567	497	378
568	497	377
569	498	375
570	498	374
571	499	373
572	500	372
573	500	371
574	501	370
575	501	369
576	502	368
577	503	367
578	503	366
579	504	365
580	504	364
581	505	362
582	506	361
583	506	360
584	507	359
585	507	358
586	508	357
587	508	356
588	509	355
589	510	354
590	510	353
591	511	352
592	512	351
593	512	350
594	513	349
595	513	348
596	514	347
597	515	346
598	515	345
599	516	344
600	516	343
601	517	342
602	518	341
603	518	340
604	519	338
605	519	337
606	520	336
607	520	335
608	521	334
609	522	333
610	522	332
611	523	331
612	523	330
613	524	329
614	525	328
615	525	327
616	526	326
617	526	325
618	527	324
619	528	323
620	528	322
621	529	321
622	529	320
623	530	319
624	531	318
625	531	317
626	532	316
627	532	315
628	533	314
629	534	313
630	534	312
631	535	311
632	535	310
633	536	309
634	536	308
635	537	307
636	538	306
637	538	305
638	539	304
639	539	303
640	540	302
641	541	301
642	541	300
643	542	299
644	542	298
645	543	297
646	543	296
647	544	295
648	545	294
649	545	293
650	546	292
651	546	291
652	547	290
653	548	290
654	548	289
655	549	288
656	549	287
657	550	286
658	551	285
659	551	284
660	552	283
661	553	282
662	553	281
663	554	280
664	554	279
665	555	278
666	555	277
667	556	276
668	557	275
669	557	274
670	558	273
671	559	272
672	559	271
673	560	270
674	560	270
675	561	269
676	562	268
677	562	267
678	563	266
679	563	265
680	564	264
681	564	263
682	565	262
683	566	261
684	566	260
685	567	259
686	568	258
687	568	257
688	569	256
689	569	256
690	570	255
691	571	254
692	571	253
693	572	252
694	572	251
695	573	250
696	573	249
697	574	248
698	575	247
699	575	246
700	576	245
701	576	244
702	577	244
703	578	243
704	578	242
705	579	241
706	579	240
707	580	239
708	581	238
709	581	237
710	582	236
711	583	235
712	583	234
713	584	234
714	584	233
715	585	232
716	586	231
717	586	230
718	587	229
719	588	228
720	588	227
721	589	226
722	590	226
723	590	225
724	591	224
725	592	223
726	592	222
727	593	221
728	594	220
729	594	219
730	595	219
731	596	218
732	596	217
733	597	216
734	598	215
735	598	214
736	599	213
737	599	212
738	600	212
739	601	211
740	601	210
741	602	209
742	603	208
743	603	207
744	604	206
745	604	205
746	605	205
747	606	204
