iter	Passed	Remaining
0	74	74806
1	75	37627
2	75	25218
3	76	19009
4	76	15293
5	77	12814
6	77	11043
7	78	9720
8	79	8700
9	79	7891
10	80	7212
11	80	6646
12	81	6168
13	81	5754
14	82	5394
15	82	5078
16	83	4807
17	83	4564
18	84	4351
19	84	4158
20	85	3982
21	85	3822
22	86	3677
23	87	3544
24	87	3422
25	88	3306
26	88	3204
27	89	3110
28	90	3016
29	90	2931
30	91	2851
31	91	2775
32	92	2704
33	92	2638
34	93	2575
35	93	2516
36	94	2458
37	94	2404
38	95	2354
39	96	2304
40	96	2257
41	96	2212
42	97	2173
43	98	2135
44	98	2097
45	99	2061
46	100	2028
47	100	1997
48	101	1967
49	102	1939
50	102	1909
51	103	1881
52	103	1853
53	104	1825
54	104	1800
55	105	1774
56	105	1749
57	106	1725
58	106	1702
59	107	1680
60	107	1659
61	108	1639
62	108	1618
63	109	1599
64	109	1580
65	110	1561
66	110	1543
67	111	1525
68	111	1509
69	112	1493
70	112	1477
71	113	1463
72	114	1450
73	114	1437
74	115	1423
75	115	1409
76	116	1395
77	116	1382
78	117	1369
79	117	1356
80	118	1345
81	119	1334
82	119	1319
83	120	1311
84	120	1300
85	121	1290
86	122	1280
87	122	1269
88	123	1259
89	123	1249
90	124	1239
91	124	1229
92	124	1218
93	125	1208
94	125	1198
95	126	1190
96	126	1181
97	127	1173
98	128	1166
99	128	1159
100	129	1150
101	129	1143
102	130	1135
103	130	1127
104	131	1119
105	131	1113
106	132	1108
107	133	1103
108	134	1096
109	134	1089
110	135	1082
111	135	1075
112	136	1068
113	136	1062
114	137	1055
115	137	1048
116	137	1041
117	138	1036
118	139	1030
119	139	1025
120	140	1020
121	140	1013
122	141	1008
123	141	1001
124	142	996
125	142	990
126	143	985
127	143	979
128	144	974
129	144	969
130	145	964
131	146	960
132	146	956
133	147	951
134	147	946
135	148	941
136	148	936
137	149	931
138	149	927
139	150	923
140	150	919
141	151	913
142	151	909
143	152	905
144	152	901
145	153	897
146	153	892
147	154	888
148	154	884
149	155	880
150	155	875
151	156	871
152	156	867
153	157	863
154	157	859
155	158	856
156	158	852
157	159	849
158	159	845
159	160	841
160	160	836
161	161	832
162	161	829
163	161	825
164	162	821
165	162	818
166	163	814
167	163	811
168	164	807
169	164	804
170	165	801
171	165	798
172	166	795
173	167	792
174	167	789
175	167	786
176	168	783
177	168	779
178	169	776
179	169	774
180	170	772
181	171	769
182	171	766
183	172	764
184	172	761
185	173	758
186	173	755
187	174	752
188	174	749
189	175	746
190	175	743
191	176	741
192	176	738
193	177	736
194	177	733
195	178	731
196	178	728
197	179	726
198	179	724
199	180	721
200	180	719
201	181	716
202	181	713
203	182	711
204	182	709
205	183	706
206	183	704
207	184	701
208	184	699
209	185	696
210	185	694
211	186	692
212	186	689
213	187	687
214	187	685
215	188	682
216	188	680
217	189	678
218	189	676
219	190	673
220	190	672
221	191	670
222	191	668
223	192	665
224	192	663
225	193	661
226	193	659
227	193	656
228	194	654
229	194	652
230	195	650
231	196	648
232	196	646
233	196	644
234	197	642
235	197	640
236	198	638
237	198	636
238	199	634
239	199	632
240	200	630
241	200	629
242	201	627
243	201	625
244	202	624
245	203	622
246	203	620
247	204	618
248	204	617
249	205	615
250	205	613
251	205	611
252	206	609
253	206	607
254	207	605
255	207	604
256	208	602
257	208	600
258	209	599
259	209	597
260	210	596
261	211	594
262	211	592
263	212	591
264	212	589
265	213	587
266	213	586
267	214	585
268	214	583
269	215	581
270	215	580
271	216	578
272	216	576
273	216	574
274	217	573
275	217	571
276	218	570
277	218	568
278	219	566
279	219	565
280	220	563
281	220	562
282	221	560
283	221	559
284	222	557
285	222	556
286	223	554
287	223	553
288	224	552
289	224	550
290	225	549
291	225	547
292	226	546
293	226	545
294	227	543
295	227	542
296	228	540
297	228	539
298	229	537
299	229	536
300	230	535
301	230	533
302	231	532
303	231	530
304	232	529
305	232	527
306	233	526
307	233	525
308	234	524
309	234	522
310	235	521
311	235	519
312	236	518
313	236	517
314	237	516
315	237	514
316	238	513
317	238	512
318	239	510
319	239	509
320	240	508
321	240	507
322	241	505
323	241	504
324	242	503
325	242	502
326	243	500
327	243	499
328	244	497
329	244	496
330	245	495
331	245	494
332	246	493
333	246	492
334	247	490
335	247	489
336	248	488
337	248	487
338	249	486
339	249	484
340	250	483
341	250	482
342	251	480
343	251	479
344	252	478
345	252	477
346	253	476
347	253	475
348	254	474
349	254	472
350	255	472
351	255	471
352	256	469
353	256	468
354	257	467
355	257	466
356	258	465
357	259	464
358	259	463
359	260	462
360	260	461
361	260	459
362	261	458
363	261	457
364	262	456
365	262	455
366	263	454
367	263	453
368	264	452
369	265	451
370	265	450
371	266	449
372	266	448
373	267	447
374	267	446
375	268	445
376	268	444
377	269	443
378	269	442
379	270	440
380	270	439
381	271	438
382	271	437
383	272	436
384	272	435
385	273	434
386	273	433
387	274	432
388	274	431
389	275	430
390	275	429
391	276	428
392	276	427
393	277	426
394	277	425
395	278	424
396	278	423
397	279	422
398	279	421
399	280	420
400	281	419
401	281	418
402	282	417
403	282	417
404	283	416
405	284	415
406	284	414
407	284	413
408	285	412
409	285	411
410	286	410
411	286	409
412	287	408
413	287	407
414	288	406
415	288	405
416	289	404
417	290	403
418	290	402
419	291	401
420	291	400
421	292	399
422	292	399
423	293	398
424	293	397
425	293	396
426	294	395
427	294	394
